id,name,default_tax_rate,created_at,updated_at,is_active,color
33,A Manger,20.00,2025-07-05 18:11:13.935242,2025-07-08 14:19:38.165686,t,#1976d2
32,Apéritifs,20.00,2025-07-05 18:02:20.297511,2025-07-16 15:53:35.143763,t,#ff0000
26,Bières,20.00,2025-07-04 13:22:59.572594,2025-07-19 15:29:16.82056,t,#d2c319
28,Cocktails,20.00,2025-07-04 18:38:29.471631,2025-07-29 14:07:48.75034,t,#80159e
29,Mocktails,20.00,2025-07-05 17:16:09.871415,2025-07-29 14:08:23.243821,t,#19b3d2
39,Shooters,20.00,2025-07-16 23:18:57.155621,2025-07-29 14:08:35.954327,t,#19d2cf
30,Softs,20.00,2025-07-05 17:20:23.8818,2025-07-29 14:08:54.429136,t,#19d29a
31,Vins,20.00,2025-07-05 17:57:44.937255,2025-07-29 14:09:11.882575,t,#9b3412
